TypeDescription,Score,Grade,Latitude,Longitude
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.1675,-85.8703
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.791,-85.8827
FOOD SERVICE,97,A,38.2585,-85.6368
FOOD SERVICE,91,A,38.2405,-85.7959
FOOD SERVICE,93,A,38.2489,-85.7879
FOOD SERVICE,99,A,38.1871,-85.7085
RETAIL WITH LIMITED SERVICE,97,,38.233,-85.758
FOOD SERVICE,95,A,38.2,-85.8371
PRE-PACKAGED RETAIL,,,38.2469,-85.6105
FOOD SERVICE,,,38.2866,-85.5773
RETAIL WITH LIMITED SERVICE,100,,38.1495,-85.5885
FOOD SERVICE,88,,38.2332,-85.9731
FOOD SERVICE,99,A,38.2532,-85.738
FOOD SERVICE,100,A,38.2529,-85.7508
FOOD SERVICE,93,A,38.2535,-85.7388
FOOD SERVICE,100,,38.2041,-85.7717
"RETAIL-FOOD  10,001 SQ FT OR OVER",98,A,38.1629,-85.5985
FOOD SERVICE,96,A,38.3229,-85.5655
FOOD SERVICE,99,A,38.3408,-85.6199
FOOD SERVICE,91,A,38.2569,-85.7813
FOOD SERVICE,100,A,38.2168,-85.587
FOOD SERVICE,95,A,38.2181,-85.5813
FOOD SERVICE,100,A,38.252,-85.7545
FOOD SERVICE,100,A,38.252,-85.7545
"RETAIL-FOOD  10,001 SQ FT OR OVER",98,A,38.1714,-85.7701
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,95,A,38.1355,-85.7522
FOOD SERVICE,93,A,38.1232,0
FOOD SERVICE,97,A,38.923,-85.6697
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1876,-87.5243
FOOD SERVICE,100,A,38.1761,-85.4791
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1974,-85.7077
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1974,-85.7077
FOOD SERVICE,95,A,38.152,-85.454
FOOD SERVICE,100,A,38.2482,-85.7632
FOOD SERVICE,97,A,38.2604,-85.6872
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2381,-85.6386
FOOD SERVICE,98,A,38.2533,-85.7356
FOOD SERVICE,96,A,38.1926,-85.7286
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1924,-85.6464
FOOD SERVICE,97,A,38.1696,-85.6082
FOOD SERVICE,100,,38.1974,-85.7446
FOOD SERVICE,,,38.2615,-85.7237
FOOD SERVICE,,,38.2316,-85.709
FOOD SERVICE,,,38.2379,-85.7206
FOOD SERVICE,100,A,38.2205,-85.5825
FOOD SERVICE,100,A,38.1381,-85.674
FOOD SERVICE,,,38.2451,-85.7034
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.921,-85.6679
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1178,-85.6895
FOOD SERVICE,99,,38.28641,-85.57721
PRE-PACKAGED RETAIL,100,,38.248,-85.749
FOOD SERVICE,99,A,38.1384,-85.6771
FOOD SERVICE,97,A,38.3218,-85.5649
FOOD SERVICE,100,A,38.175,-85.3006
"RETAIL-FOOD  10,001 SQ FT OR OVER",88,,38.2906,-85.5089
FOOD SERVICE,97,A,38.249,-85.7979
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,97,A,38.1628,-85.8308
FOOD SERVICE,96,A,38.1033,-85.86891
FOOD SERVICE,100,A,38.2479,-85.6234
SCHOOL CAFETERIA OR FOOD SERVICE,97,A,38.2171,-85.6778
FOOD SERVICE,96,A,38.2222,-85.6836
FOOD SERVICE,92,A,38.2043,-85.557
SCHOOL CAFETERIA OR FOOD SERVICE,97,A,38.2369,-85.8206
FOOD SERVICE,96,A,38.1262,-85.7667
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.2435,-85.7363
FOOD SERVICE,96,A,38.2118,-85.7472
FOOD SERVICE,96,A,38.2175,-85.7554
PRE-PACKAGED RETAIL,93,,38.1967,-85.7966
FOOD SERVICE,100,A,38.2094,-85.6522
FOOD SERVICE,96,A,38.165,0
FOOD SERVICE,100,A,38.1909,-85.7433
CATERERS,100,A,38.2178,-85.7556
FOOD SERVICE,97,A,38.1327,-85.6139
FOOD SERVICE,98,A,38.2493,-85.6382
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1311,-85.5779
FOOD SERVICE,,,38.3128,-85.5682
FOOD SERVICE,95,A,38.2886,-85.5119
FOOD SERVICE,100,A,38.256,-85.7613
FOOD SERVICE,98,A,38.2483,-85.6166
FOOD SERVICE,91,A,38.2566,-85.7169
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2233,-85.6338
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.206,-85.7563
FOOD SERVICE,100,A,38.2413,-85.7251
FOOD SERVICE,81,C,38.1528,0
FOOD SERVICE,98,A,38.2383,-85.7199
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1528,-85.8027
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,,38.2071,-85.6487
FOOD SERVICE,100,,38.2536,-85.8148
FOOD SERVICE,99,A,38.1655,-85.8656
FOOD SERVICE,91,A,38.1603,-85.834
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1658,-85.7316
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1658,-85.7316
FOOD SERVICE,98,A,38.1556,-85.7128
FOOD SERVICE,95,A,38.1427,-85.9371
FOOD SERVICE (HOSPITAL / NURSING HOME,99,A,38.1203,-85.846
FOOD SERVICE,100,A,38.983,-85.8729
FOOD SERVICE,97,A,38.2673,-85.7836
PRE-PACKAGED RETAIL,98,,38.1953,-85.8432
FOOD SERVICE,99,A,38.2997,-85.5426
FOOD SERVICE,99,A,38.2921,-85.3617
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,,38.2476,-85.7691
FOOD SERVICE,97,A,38.2207,-85.7617
RETAIL BAKERY,98,,38.2849,-85.75776
FOOD SERVICE,100,A,38.2257,-85.5821
"RETAIL-FOOD  10,001 SQ FT OR OVER",96,,38.1597,-85.7642
FOOD SERVICE,98,A,38.1551,-85.7121
FOOD SERVICE,93,A,38.2358,-85.727
FOOD SERVICE,97,A,38.2466,-85.7585
FOOD SERVICE,92,A,38.1527,-85.5983
FOOD SERVICE,95,A,38.3039,-85.5339
FOOD SERVICE,98,A,38.3064,-85.5768
FOOD SERVICE,95,A,38.1378,-85.6669
FOOD SERVICE,99,A,38.1519,-85.5876
FOOD SERVICE,100,A,38.1292,-85.5763
FOOD SERVICE,89,A,38.3082,-85.5769
