DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,2012/12/01,Imperial Terminal,Arrival,Domestic,2619816
05/01/2014 12:00:00 AM,2012/12/01,Misc. Terminal,Departure,Domestic,2658697
05/01/2014 12:00:00 AM,2013/01/01,Imperial Terminal,Departure,Domestic,2515318
05/01/2014 12:00:00 AM,2013/01/01,Misc. Terminal,Arrival,Domestic,2535418
05/01/2014 12:00:00 AM,2013/02/01,Misc. Terminal,Arrival,Domestic,2229958
05/01/2014 12:00:00 AM,2013/02/01,Misc. Terminal,Departure,Domestic,2252333
05/01/2014 12:00:00 AM,2013/03/01,Imperial Terminal,Arrival,Domestic,2754973
05/01/2014 12:00:00 AM,2013/03/01,Misc. Terminal,Departure,Domestic,2790550
05/01/2014 12:00:00 AM,2013/04/01,Misc. Terminal,Arrival,Domestic,2663579
05/01/2014 12:00:00 AM,2013/04/01,Misc. Terminal,Departure,Domestic,2646918
05/01/2014 12:00:00 AM,2013/05/01,Misc. Terminal,Arrival,Domestic,2836570
05/01/2014 12:00:00 AM,2013/05/01,Misc. Terminal,Departure,Domestic,2877386
05/01/2014 12:00:00 AM,2013/06/01,Misc. Terminal,Arrival,Domestic,3037273
05/01/2014 12:00:00 AM,2013/06/01,Misc. Terminal,Departure,Domestic,3077241
05/01/2014 12:00:00 AM,2013/07/01,Misc. Terminal,Arrival,Domestic,3272363
05/01/2014 12:00:00 AM,2013/07/01,Misc. Terminal,Departure,Domestic,3196615
05/01/2014 12:00:00 AM,2013/08/01,Imperial Terminal,Arrival,Domestic,3156973
05/01/2014 12:00:00 AM,2013/08/01,Misc. Terminal,Departure,Domestic,3173195
05/01/2014 12:00:00 AM,2013/09/01,Imperial Terminal,Departure,Domestic,2644479
05/01/2014 12:00:00 AM,2013/09/01,Misc. Terminal,Arrival,Domestic,2663774
05/01/2014 12:00:00 AM,2013/10/01,Misc. Terminal,Arrival,Domestic,2756386
05/01/2014 12:00:00 AM,2013/10/01,Misc. Terminal,Departure,Domestic,2759419
05/01/2014 12:00:00 AM,2013/11/01,Misc. Terminal,Arrival,Domestic,2517413
05/01/2014 12:00:00 AM,2013/11/01,Misc. Terminal,Departure,Domestic,2539592
05/01/2014 12:00:00 AM,2013/12/01,Misc. Terminal,Arrival,Domestic,2907479
05/01/2014 12:00:00 AM,2013/12/01,Misc. Terminal,Departure,Domestic,2862452
05/01/2014 12:00:00 AM,2014/01/01,Imperial Terminal,Arrival,Domestic,2729257
05/01/2014 12:00:00 AM,2014/01/01,Misc. Terminal,Departure,Domestic,2690360
05/01/2014 12:00:00 AM,2014/02/01,Misc. Terminal,Arrival,Domestic,2378994
05/01/2014 12:00:00 AM,2014/02/01,Misc. Terminal,Departure,Domestic,2386990
05/01/2014 12:00:00 AM,2014/03/01,Imperial Terminal,Arrival,Domestic,2879063
05/01/2014 12:00:00 AM,2014/03/01,Misc. Terminal,Departure,Domestic,2906031
07/18/2014 12:00:00 AM,2014/05/01,Terminal 3,Departure,International,3050198
07/18/2014 12:00:00 AM,2014/05/01,Terminal 4,Arrival,Domestic,3030811
07/18/2014 12:00:00 AM,2014/04/01,Misc. Terminal,Arrival,Domestic,2914394
07/18/2014 12:00:00 AM,2014/04/01,Misc. Terminal,Departure,Domestic,2845743
08/15/2014 09:39:18 AM,2014/06/01,Misc. Terminal,Arrival,Domestic,3245321
08/15/2014 09:39:18 AM,2014/06/01,Misc. Terminal,Departure,Domestic,3278726
09/15/2014 07:00:09 AM,2014/07/01,Misc. Terminal,Arrival,Domestic,3476786
09/15/2014 07:00:09 AM,2014/07/01,Misc. Terminal,Departure,Domestic,3395291
10/15/2014 08:00:09 AM,2014/08/01,Misc. Terminal,Arrival,Domestic,3331324
10/15/2014 08:00:09 AM,2014/08/01,Misc. Terminal,Departure,Domestic,3386316
11/15/2014 08:00:12 AM,2014/09/01,Misc. Terminal,Arrival,Domestic,2793963
11/15/2014 08:00:12 AM,2014/09/01,Misc. Terminal,Departure,Domestic,2779497
12/15/2014 08:00:10 AM,2014/10/01,Misc. Terminal,Arrival,Domestic,2925758
12/15/2014 08:00:10 AM,2014/10/01,Misc. Terminal,Departure,Domestic,2940128
01/15/2015 08:00:16 AM,2014/11/01,Imperial Terminal,Departure,International,2705579
01/15/2015 08:00:16 AM,2014/11/01,Misc. Terminal,Arrival,Domestic,2674866
02/15/2015 08:00:17 AM,2014/12/01,Misc. Terminal,Arrival,Domestic,2963790
02/15/2015 08:00:17 AM,2014/12/01,Misc. Terminal,Departure,Domestic,2957766
03/16/2015 08:39:41 AM,2015/01/01,Terminal 7,Arrival,Domestic,2734875
03/16/2015 08:39:41 AM,2015/01/01,Terminal 4,Departure,International,2704319
04/15/2015 08:00:11 AM,2015/02/01,Terminal 6,Departure,International,2482811
04/15/2015 08:00:11 AM,2015/02/01,Terminal 5,Arrival,Domestic,2467784
05/15/2015 08:00:08 AM,2015/03/01,Terminal 8,Arrival,Domestic,2982461
05/15/2015 08:00:08 AM,2015/03/01,Terminal 6,Departure,Domestic,3044136
06/15/2015 08:00:11 AM,2015/04/01,Terminal 6,Departure,Domestic,2962398
06/15/2015 08:00:11 AM,2015/04/01,Terminal 7,Arrival,Domestic,2975917
07/15/2015 08:00:14 AM,2015/05/01,Misc. Terminal,Arrival,International,3165612
07/15/2015 08:00:14 AM,2015/05/01,Terminal 6,Departure,International,3191365
08/15/2015 08:00:09 AM,2015/06/01,Terminal 7,Departure,International,3459741
08/15/2015 08:00:09 AM,2015/06/01,Terminal 4,Arrival,Domestic,3330537
09/15/2015 08:00:15 AM,2015/07/01,Terminal 4,Arrival,Domestic,3676575
09/15/2015 08:00:15 AM,2015/07/01,Terminal 8,Departure,International,3598944
10/15/2015 08:00:09 AM,2015/08/01,Terminal 7,Departure,International,3553040
